,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
112,2016,1,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",124.0,12.0,0.98,0.22,9.31,0.0,1.49,0.0,0.0,453.0,49.0,11.0,352.0,0.0,41.0
113,2016,1,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",31.0,7.0,3.05,0.0,2.26,0.0,1.69,2.0,1.0,308.0,174.0,0.0,80.0,0.0,54.0
114,2016,1,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31.0,9.0,4.08,0.21,4.7,0.0,0.0,0.0,0.0,279.0,139.0,6.0,134.0,0.0,0.0
115,2016,1,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",62.0,11.0,4.96,0.8,4.24,0.0,1.0,0.0,0.0,471.0,234.0,79.0,132.0,0.0,26.0
116,2016,1,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",43.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,89.0,37.0,0.0,52.0,0.0,0.0
117,2016,1,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",81.0,3.0,0.95,0.0,1.33,0.0,0.73,0.0,1.0,98.0,33.0,0.0,33.0,0.0,32.0
118,2016,1,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",80.0,6.0,1.5,0.0,3.5,0.0,1.0,0.0,0.0,148.0,46.0,0.0,53.0,0.0,49.0
119,2016,1,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport",80.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,114.0,0.0,26.0,21.0,0.0,67.0
120,2016,1,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International",174.0,8.0,5.19,0.0,1.81,0.0,1.0,1.0,1.0,253.0,192.0,0.0,43.0,0.0,18.0
121,2016,1,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",322.0,29.0,7.42,6.41,7.45,0.0,7.72,6.0,7.0,1776.0,616.0,337.0,263.0,0.0,560.0
